ID,First Name,Last Name,Address,Phone Number,Country,Age,Skills
4811,Ali,Rezaei,"""4 Pen Y Mynydd, Colwyn Bay"",LL28 5YQ, dfsgdlgrdf, gfhfdj, sglhdf, zsfdklg, sfwasfj522, sdgseghsx, sf",+98 927 853 4443,Iran,25,Python-Java-C#-HTML
7127,Mahsa,Mousavi,"7 Walnut Tree Close, Bramford,IP8 4EE",+98 908 479 7565,Iran,36,Python-C#-Angular
4707,Alireza,Sadr,"1 Marsant Close, Nottingham,NG8 1NU",+98 926 767 1348,Iran,32,Python-Java-Angular
8224,Félix,Coelho,"24A Hawkwell Park Drive, Hockley,SS5 4HB",+98 937 760 3280,Portugal,30,Java-C-C++-MATLAB
2558,Oscar,Freitas,"99 Surrey Road, Huntingdon,PE29 7JU",+98 911 765 3837,Portugal,24,Python-C#-Angular-HTML
7195,Amirreza,Hemmat,"Brooklyn Bungalow, Woodfieldside,NP12 2AR",+98 904 558 6140,Iran,30,Java-HTML-CSS-JavaScript
4246,Sara,Hashemi,"Windlewood, Westwood Road, Windlesham,GU20 6NB",+98 936 524 4220,Iran,28,Python-Java-C#-Angular
8825,Gülben,Ilkel,"4 Eastfield, Bruton,BA10 0HT",+98 929 310 3620,Turkey,38,Python-Java
3122,Mohammad,Shojaei,"1 Consett Park Terrace, Consett,DH8 8ET",+98 908 129 0324,Iran,35,C#-HTML-CSS
1885,Raheem,Zaman,"1 Moorland View, Stoke-On-Trent,ST6 7NG",+98 913 964 2986,Afghanistan,35,Python-Java-Angular
9941,Arman,Tabrizi,"43 Cobden Walk, Basildon,SS13 2RH",+98 912 973 3402,Iran,38,Python-C#-HTML
5299,Julieta,Almeida,"Brock Cottage, Foscot,OX7 6RW",+98 935 652 7029,Brazil,38,C#-HTML-CSS
1301,Rodrigo,Travieso,"64 The Crapen, Dursley,GL11 6LJ",+98 930 612 0800,Spain,35,Python-Java-C#-jQuery
9209,Parsa,Ashoori,"1 Bath Court, Bath Road, Wells,BA5 3FA",+98 905 660 1889,Iran,28,Java-C-C++
5934,Kimiya,Azari,"4 Brook Close, Owlsmoor,GU47 0TG",+98 933 977 1415,Iran,26,Python-Java
4771,Güher,Özkan,"21 St James's Street, London,SW1A 1ES",+98 918 894 4518,Turkey,36,C#-.NET
4400,Zahra,Rasooli,"1 Kareith Drive, Newton By The Sea,NE66 3DH",+98 926 767 1348,Iran,32,Java-C#-.NET
1137,Negin,Bakhtiari,"66 Cullen Street, Liverpool,L8 0QZ",+98 910 110 7278,Iran,25,Python-Java-HTML
9748,Teresa,Kanashiro,"2 Valence Road, Erith,DA8 3JT",+98 913 868 3359,Brazil,33,Python-Java-C#
2647,Shahriar,Mahdavi,"1 The Leas, Wadhurst,TN5 6ES",+98 915 565 1842,Iran,31,Python-C#
2495,Ghulam,Hazrat,"Llys Awel, Dol Y Bont,SY24 5LY",+98 931 117 0874,Afghanistan,32,C#-HTML-CSS
3105,Amin,Ehsanimehr,"48 Portelet Road, London,E1 4EJ",+98 924 308 0872,Iran,23,Python-Java-C#-HTML-CSS
5781,Sahar,Moradi,"20 Laurel Gardens, Crook,DL15 9LW",+98 927 594 0470,Iran,36,Python-Java
7551,Ali,Amer,"Gainsborough House, Manor Road, Penn,HP10 8JA",+98 932 542 0410,Iraq,24,Java-C#
5370,Omid,Ansari,"5 Beech Street, Failsworth,M35 0BE",+98 925 252 8527,Iran,22,Python-Angular-Node.js
5824,Hassan,Ahmad,"23 St Domingo Vale, Liverpool,L5 6RN",+98 903 810 7171,Iraq,38,Java-C#-HTML-CSS-JavaScript
1614,Reza,Akhoondi,"62A High Street, Watford,WD17 2BS",+98 901 196 4275,Iran,31,Python-C#-Django
4087,Davood,Mohammadi,"25 Langdale Drive, Normanton,WF6 2SS",+98 906 407 3880,Iran,38,Python-Angular-Node.js
6727,Ahmad,Mohammadi zadeh,"The Chase, 16 Park Street, Lynton,EX35 6BY",+98 914 115 9884,Iran,25,Python-Java-C#-C-C++-Unity
9294,Parsa,Panahi,"2 Mytchett Lake Road, Mytchett,GU16 6AL",+98 934 418 2556,Iran,40,Python-Angular-Node.js-Django
